filename,total_blocks,ratio_ones,decoded_bit,expected_bit,is_correct
267_281962_dwt_dct_wm.png,1024,0.806640625,1,1,1
268_282025_dwt_dct_wm.png,1024,0.6279296875,1,1,1
269_282161_dwt_dct_wm.png,1024,0.861328125,1,1,1
26_251041_dwt_dct_wm.png,1024,0.8671875,1,1,1
270_282344_dwt_dct_wm.png,1024,0.8603515625,1,1,1
271_282417_dwt_dct_wm.png,1024,0.845703125,1,1,1
272_282551_dwt_dct_wm.png,1024,0.859375,1,1,1
273_282785_dwt_dct_wm.png,1024,0.8642578125,1,1,1
274_283179_dwt_dct_wm.png,1024,0.859375,1,1,1
275_283246_dwt_dct_wm.png,1024,0.83984375,1,1,1
276_283266_dwt_dct_wm.png,1024,0.8623046875,1,1,1
277_283293_dwt_dct_wm.png,1024,0.8681640625,1,1,1
278_283335_dwt_dct_wm.png,1024,0.8486328125,1,1,1
279_283355_dwt_dct_wm.png,1024,0.8896484375,1,1,1
27_251113_dwt_dct_wm.png,1024,0.8505859375,1,1,1
