filename,rel_path,total_blocks,ratio_ones,decoded_bit,expected_bit,is_correct
212_273367.png,INSTRUCT_Pix2Pix\5\212_273367.png,1024,0.5908203125,1,1,1
213_273373.png,INSTRUCT_Pix2Pix\5\213_273373.png,1024,0.5400390625,1,1,1
21_250313.png,INSTRUCT_Pix2Pix\5\21_250313.png,1024,0.5390625,1,1,1
22_250340.png,INSTRUCT_Pix2Pix\5\22_250340.png,1024,0.55859375,1,1,1
23_250506.png,INSTRUCT_Pix2Pix\5\23_250506.png,1024,0.5185546875,1,1,1
24_250663.png,INSTRUCT_Pix2Pix\5\24_250663.png,1024,0.5966796875,1,1,1
25_250921.png,INSTRUCT_Pix2Pix\5\25_250921.png,1024,0.53125,1,1,1
26_251041.png,INSTRUCT_Pix2Pix\5\26_251041.png,1024,0.59375,1,1,1
27_251113.png,INSTRUCT_Pix2Pix\5\27_251113.png,1024,0.5390625,1,1,1
28_251200.png,INSTRUCT_Pix2Pix\5\28_251200.png,1024,0.5556640625,1,1,1
29_251243.png,INSTRUCT_Pix2Pix\5\29_251243.png,1024,0.5146484375,1,1,1
2_248435.png,INSTRUCT_Pix2Pix\5\2_248435.png,1024,0.521484375,1,1,1
30_251263.png,INSTRUCT_Pix2Pix\5\30_251263.png,1024,0.5576171875,1,1,1
31_251374.png,INSTRUCT_Pix2Pix\5\31_251374.png,1024,0.5009765625,1,1,1
32_251376.png,INSTRUCT_Pix2Pix\5\32_251376.png,1024,0.5009765625,1,1,1
33_251411.png,INSTRUCT_Pix2Pix\5\33_251411.png,1024,0.505859375,1,1,1
34_251716.png,INSTRUCT_Pix2Pix\5\34_251716.png,1024,0.55078125,1,1,1
35_251717.png,INSTRUCT_Pix2Pix\5\35_251717.png,1024,0.5673828125,1,1,1
36_251758.png,INSTRUCT_Pix2Pix\5\36_251758.png,1024,0.5234375,1,1,1
37_251881.png,INSTRUCT_Pix2Pix\5\37_251881.png,1024,0.5615234375,1,1,1
38_252077.png,INSTRUCT_Pix2Pix\5\38_252077.png,1024,0.5634765625,1,1,1
39_252185.png,INSTRUCT_Pix2Pix\5\39_252185.png,1024,0.52734375,1,1,1
3_248492.png,INSTRUCT_Pix2Pix\5\3_248492.png,1024,0.560546875,1,1,1
40_252357.png,INSTRUCT_Pix2Pix\5\40_252357.png,1024,0.5458984375,1,1,1
41_252683.png,INSTRUCT_Pix2Pix\5\41_252683.png,1024,0.4453125,0,1,0
42_253298.png,INSTRUCT_Pix2Pix\5\42_253298.png,1024,0.5439453125,1,1,1
43_253427.png,INSTRUCT_Pix2Pix\5\43_253427.png,1024,0.5634765625,1,1,1
44_253668.png,INSTRUCT_Pix2Pix\5\44_253668.png,1024,0.552734375,1,1,1
45_253778.png,INSTRUCT_Pix2Pix\5\45_253778.png,1024,0.49609375,0,1,0
46_254057.png,INSTRUCT_Pix2Pix\5\46_254057.png,1024,0.5712890625,1,1,1
47_254103.png,INSTRUCT_Pix2Pix\5\47_254103.png,1024,0.6005859375,1,1,1
48_254123.png,INSTRUCT_Pix2Pix\5\48_254123.png,1024,0.505859375,1,1,1
